name,r,a,s,body,group
vasmed_l-P3,-51.60196013074892,21.39294636575505,322.22437340244323,patella_l,muscle
vasmed_l-P4,-61.15441826338247,24.642415782480384,282.81508909174227,patella_l,muscle
recfem_r-P2,86.88169969864458,28.21987017140782,337.86223217399856,patella_r,muscle
recfem_r-P3,85.41941325391622,33.784189853977296,330.3468011459772,patella_r,muscle
recfem_r-P4,85.53268166509815,23.571834911344922,294.0912874879723,patella_r,muscle
vasint_r-P3,83.50783395668245,22.380413227088866,339.46968479229326,patella_r,muscle
vasint_r-P4,85.03891673306089,23.610502086085035,294.0812539783601,patella_r,muscle
vaslat_r-P3,107.58101318833587,24.287702463945607,329.4533640053851,patella_r,muscle
vaslat_r-P4,94.73043920208829,22.39759515093465,294.28400054785016,patella_r,muscle
vasmed_r-P3,66.31659571554076,24.38164109813806,333.386346171048,patella_r,muscle
vasmed_r-P4,75.94002007533027,24.076626475565718,293.85566924518207,patella_r,muscle
addbrev_r-P1,32.349015192918614,-9.900898759336997,663.6326879707813,pelvis,muscle
addlong_r-P1,39.524714410408706,1.3725588522338512,665.8898789217274,pelvis,muscle
addmagDist_r-P1,51.27310727455642,-63.243633125330234,647.3877245564363,pelvis,muscle
addmagIsch_r-P1,55.24564247867147,-79.28591195464469,648.9755755583246,pelvis,muscle
addmagMid_r-P1,39.98945723904944,-42.09842923238102,648.4939630496956,pelvis,muscle
addmagProx_r-P1,27.020974093372843,-22.75323828198816,653.8901216035993,pelvis,muscle
bflh_r-P1,75.68417089737159,-97.01905712320877,660.9568894993208,pelvis,muscle
glmax1_r-P1,65.07730961203924,-73.21287431873498,809.2219351288877,pelvis,muscle
glmax1_r-P2,90.23014180370592,-88.18233811758546,763.4764828107,pelvis,muscle
glmax2_r-P1,56.959205202805606,-89.40966734282847,791.2083756335196,pelvis,muscle
glmax2_r-P2,96.38169388597817,-104.00520643294658,732.622664514689,pelvis,muscle
glmax3_r-P1,18.16311977987607,-128.05139081044035,738.3831164654403,pelvis,muscle
glmax3_r-P2,60.428150473644564,-109.5622982184941,664.1415192557652,pelvis,muscle
glmed1_r-P1,114.59563399908438,-11.622265722544398,790.033316559151,pelvis,muscle
glmed2_r-P1,85.34979011855467,-40.48980168984417,817.2044620350498,pelvis,muscle
glmed3_r-P1,72.47326279432309,-54.970213107037125,788.7251114136889,pelvis,muscle
glmin1_r-P1,118.33451152967609,4.736247041862953,764.0445729940766,pelvis,muscle
glmin2_r-P1,104.728437160662,-20.80399351811502,777.9740407859281,pelvis,muscle
glmin3_r-P1,87.48827439655724,-41.783913516621396,758.5467945404016,pelvis,muscle
grac_r-P1,37.1932833103956,-39.4419886144733,638.8666329941916,pelvis,muscle
iliacus_r-P1,88.05875773768639,-19.150922375181835,793.1569838664072,pelvis,muscle
iliacus_r-P2,92.15544518271054,2.6615164813738375,705.0069019468647,pelvis,muscle
piri_r-P1,20.839199395173637,-85.8323028468294,768.9871952096946,pelvis,muscle
piri_r-P2,71.82596488564377,-71.53032558424457,750.4363783297158,pelvis,muscle
