name,r,a,s,body,group
vasmed_l-P2,-71.02208976331531,-6.724037256135489,413.4986425438301,femur_l,muscle
addbrev_r-P2,118.58687311500762,-46.03450887998042,580.0117285369706,femur_r,muscle
addlong_r-P2,104.01442872058101,-29.220842678576446,463.45495792004806,femur_r,muscle
addmagDist_r-P2,105.13714841892215,-26.096046065758856,442.5881062880052,femur_r,muscle
addmagIsch_r-P2,51.952080749106244,-17.980598811591335,331.6504684347565,femur_r,muscle
addmagMid_r-P2,109.91493336728672,-40.67800562810862,536.9815931984594,femur_r,muscle
addmagProx_r-P2,117.91226472122617,-53.41559740811863,621.3462808885597,femur_r,muscle
bfsh_r-P1,111.83086867225029,-36.084573016316426,491.1759113808216,femur_r,muscle
gaslat_r-P1,111.87510042894564,-22.26379431397072,338.65380495031786,femur_r,muscle
gasmed_r-P1,62.941188776828994,-14.200606127313222,340.60848075109516,femur_r,muscle
glmax1_r-P3,123.85553360865379,-80.4502573346872,673.6375695235729,femur_r,muscle
glmax1_r-P4,133.08395227064466,-63.60671275021923,647.2452696766268,femur_r,muscle
glmax2_r-P3,119.34117155568674,-82.2625812285587,648.4066506721138,femur_r,muscle
glmax2_r-P4,131.04518423591617,-56.04258948269944,600.0736967039957,femur_r,muscle
glmax3_r-P3,123.82127325136207,-71.37505835603133,591.8125481230709,femur_r,muscle
glmax3_r-P4,115.31435534659795,-47.894889656753094,558.776845006676,femur_r,muscle
glmed1_r-P2_0,149.30696311100837,-50.40586548455758,681.7352375992341,femur_r,muscle
glmed2_r-P2_0,147.2665854077386,-57.146373010618845,692.011688740291,femur_r,muscle
glmed3_r-P2_0,143.554844442966,-64.61199212245992,699.4530142788317,femur_r,muscle
glmin1_r-P2,144.6726908221317,-35.782090723283545,679.5522593116693,femur_r,muscle
glmin2_r-P2,141.93436853752428,-35.11200538526464,685.5529680210202,femur_r,muscle
glmin3_r-P2,141.598183710601,-40.81208912053262,695.1378873765461,femur_r,muscle
iliacus_r-P3,95.2121541013421,-39.442646038840394,638.9241118306745,femur_r,muscle
iliacus_r-P4,100.3415814621585,-48.575506196761125,634.6697178166651,femur_r,muscle
piri_r-P3,134.70399093567175,-50.47932940321698,695.6950314582682,femur_r,muscle
psoas_r-P3,91.8485238547728,-50.74303416037583,651.0846187547722,femur_r,muscle
psoas_r-P4,98.6931615337362,-60.692985342298925,648.6663007002971,femur_r,muscle
sart_r-P2,54.85871480978676,-44.006825043477875,360.5840740772637,femur_r,muscle
tfl_r-P2,136.07745972093107,-15.51255167088243,590.4860411412883,femur_r,muscle
tfl_r-P3,115.89341833281196,-13.315252953529125,313.5267204946631,femur_r,muscle
vasint_r-P1,115.56993629801309,-15.241671625353774,502.23114857190194,femur_r,muscle
vasint_r-P2,114.09156396712342,-10.422124093358434,486.2312344315328,femur_r,muscle
vaslat_r-P1,116.81256441614732,-36.69810165610943,515.205417606112,femur_r,muscle
vaslat_r-P2,122.37152742400485,-9.413438379073341,442.0973306349504,femur_r,muscle
vasmed_r-P1,107.81717912175918,-28.772598763072892,489.7518872562446,femur_r,muscle
vasmed_r-P2,87.47090865408995,-6.046307132404763,422.60601691581996,femur_r,muscle
recfem_l-P2,-71.79304327280897,23.252412097979686,324.8663927688476,patella_l,muscle
recfem_l-P3,-69.51108209647191,25.909214948274894,319.7197060995968,patella_l,muscle
recfem_l-P4,-71.13356760087845,23.82990874967072,282.8281644171202,patella_l,muscle
vasint_l-P3,-69.4389594130289,20.064836227102205,325.0559794332976,patella_l,muscle
vasint_l-P4,-70.61222721751801,23.86705457085918,282.83212591466145,patella_l,muscle
vaslat_l-P3,-91.55903682484586,21.438338320716866,318.73904439621674,patella_l,muscle
vaslat_l-P4,-80.80137109526913,23.126760578292306,282.7289375176442,patella_l,muscle
vasmed_l-P3,-51.72773953021715,21.423099862135132,322.15917814633485,patella_l,muscle
vasmed_l-P4,-60.97108177054997,24.59361839883786,282.8595627530449,patella_l,muscle
recfem_r-P2,86.87891983726797,28.22152973592165,337.86131532999207,patella_r,muscle
recfem_r-P3,85.41941559780821,33.78419083477638,330.34680117050084,patella_r,muscle
recfem_r-P4,85.53684661185525,23.563707545690704,294.09296018060013,patella_r,muscle
vasint_r-P3,83.50783542792783,22.38041367920232,339.46968442650905,patella_r,muscle
vasint_r-P4,85.03726306880071,23.60143716420862,294.083071822668,patella_r,muscle
vaslat_r-P3,107.58101045312242,24.287702243513195,329.45336366946685,patella_r,muscle
vaslat_r-P4,94.8355199754269,22.399952464271337,294.28431006660867,patella_r,muscle
vasmed_r-P3,66.44513050511694,24.40990874475392,333.39251148767835,patella_r,muscle
vasmed_r-P4,75.71437916092145,24.034185430631624,293.8609205575067,patella_r,muscle
addbrev_r-P1,32.35033239139557,-9.901511761490838,663.6351339278044,pelvis,muscle
addlong_r-P1,39.524714398176,1.3725588568413514,665.8898789244668,pelvis,muscle
addmagDist_r-P1,51.276025059221865,-63.24493207961859,647.3913483968026,pelvis,muscle
addmagIsch_r-P1,55.24405041435239,-79.28434388365713,648.9767801624585,pelvis,muscle
addmagMid_r-P1,39.99446587647981,-42.10159074468538,648.4966583767346,pelvis,muscle
addmagProx_r-P1,27.022926072716473,-22.754520896844042,653.8913055064841,pelvis,muscle
bflh_r-P1,75.68417081091502,-97.0190570689083,660.9568895089578,pelvis,muscle
glmax1_r-P1,65.07778913806396,-73.21381964402099,809.2228404045018,pelvis,muscle
glmax1_r-P2,90.21747129513096,-88.17844773837714,763.475265145018,pelvis,muscle
glmax2_r-P1,56.957617465748626,-89.40915060054249,791.2081414069326,pelvis,muscle
glmax2_r-P2,96.35334970222539,-103.99430112085975,732.6190436498582,pelvis,muscle
glmax3_r-P1,18.163119807057228,-128.05139082363166,738.3831164637086,pelvis,muscle
glmax3_r-P2,60.391071053792984,-109.54328983632149,664.1309729219938,pelvis,muscle
glmed1_r-P1,114.59865744523995,-11.625464382126665,790.0339036969235,pelvis,muscle
glmed2_r-P1,85.34981782970863,-40.49065323378454,817.2058886754239,pelvis,muscle
glmed3_r-P1,72.47402651413722,-54.971077970381884,788.7260002623007,pelvis,muscle
glmin1_r-P1,118.33733040805237,4.733279620872054,764.0450011926514,pelvis,muscle
glmin2_r-P1,104.73067030699895,-20.80664938589689,777.9750111662433,pelvis,muscle
glmin3_r-P1,87.49010970690506,-41.78540695702759,758.5472817971531,pelvis,muscle
grac_r-P1,37.198554624207645,-39.44677025245255,638.8604393751848,pelvis,muscle
iliacus_r-P1,88.0592816256758,-19.151936661168293,793.1577607117215,pelvis,muscle
iliacus_r-P2,92.15544509929896,2.6615165445218736,705.0069019214716,pelvis,muscle
piri_r-P1,20.844034501304122,-85.83436970243201,768.9885069894954,pelvis,muscle
piri_r-P2,71.8259074669295,-71.53050991456257,750.4362249592741,pelvis,muscle
psoas_r-P1,42.82315658132575,-20.374863432894927,813.0260805406579,pelvis,muscle
psoas_r-P2,71.30802186199071,-6.9184013215926825,696.2470093259435,pelvis,muscle
recfem_r-P1,95.82668254839882,-5.185354334884323,725.2983804826144,pelvis,muscle
sart_r-P1,110.03872760717422,13.83821264015205,746.8297363289093,pelvis,muscle
semimem_r-P1,77.47790569817334,-90.41902907927579,665.2073603324025,pelvis,muscle
semiten_r-P1,68.17566158018599,-95.80454489237673,655.4601854205466,pelvis,muscle
tfl_r-P1,124.39721745371935,8.257534955791925,772.5288512825573,pelvis,muscle
addbrev_l-P1,-17.06410778206009,-9.609338219292113,663.5348376538423,pelvis,muscle
addlong_l-P1,-24.86914716627416,1.6489474211484776,665.8898726703083,pelvis,muscle
addmagDist_l-P1,-33.544364650450916,-61.67344444834089,646.1606077964789,pelvis,muscle
addmagIsch_l-P1,-38.0993779007199,-76.80226758821664,647.4275224650919,pelvis,muscle
addmagMid_l-P1,-22.389490105560526,-41.51946659350506,647.5065684069668,pelvis,muscle
addmagProx_l-P1,-10.487892398704389,-22.556194341723312,653.6302143088542,pelvis,muscle
bflh_l-P1,-61.602127533430576,-92.38966829220226,659.0237167544437,pelvis,muscle
glmax1_l-P1,-54.05295585195563,-73.61265641818318,805.1514447589434,pelvis,muscle
glmax1_l-P2,-75.67860419947101,-87.09508769550303,758.470478222087,pelvis,muscle
glmax2_l-P1,-44.17121786495409,-89.38918205263326,787.6059220298994,pelvis,muscle
glmax2_l-P2,-80.24680032788274,-102.09883650523261,727.7830622298716,pelvis,muscle
glmax3_l-P1,-4.603291246963636,-125.07261615386233,735.8019173215725,pelvis,muscle
glmax3_l-P2,-41.750858799287016,-106.39003434629922,662.2931656165965,pelvis,muscle
glmed1_l-P1,-105.26150480513388,-13.146898217069975,784.9074606212962,pelvis,muscle
glmed2_l-P1,-78.22647161304121,-41.38921198272874,812.2081618502561,pelvis,muscle
glmed3_l-P1,-60.25090806041044,-55.3372342827206,785.0643331063766,pelvis,muscle
glmin1_l-P1,-105.93420490712924,2.767201382848725,760.5485653637515,pelvis,muscle
